name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~From hdst. lower to L-sit or strad. L-sit (2 s.).,|~I,|~,|~A,|~0.1,|~43,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-1-col-1.png
,|~,|~I,|~,|~B,|~0.2,|~43,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-1-col-2.png
Manna,|~V-sit with legs horiz. (2 s.).,|~I,|~,|~C,|~0.3,|~43,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-1-col-3.png
,|~,|~I,|~,|~D,|~0.4,|~43,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-1-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~43,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-1-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~43,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-1-col-6.png
,|~From straddle stand, press to hdst. (2 s.).,|~I,|~,|~A,|~0.1,|~43,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-2-col-1.png
,|~Piked body, str. arm or str. body, bent arm press to hdst. with legs together (2 s.).,|~I,|~,|~B,|~0.2,|~43,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-2-col-2.png
,|~V-sit (2 s) and press to hdst. (2 s.). Also final phase with straddle.,|~I,|~,|~C,|~0.3,|~43,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-2-col-3.png
,|~Manna (2 s.) and press to hdst. (2 s.). Also final phase with straddle.,|~I,|~,|~D,|~0.4,|~43,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-2-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~43,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-2-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~43,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-2-col-6.png
,|~Rock to hdst. from prone position (2 s.),|~I,|~,|~A,|~0.1,|~43,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-3-col-1.png
,|~Press from split, L-sit strad. or front sup. (2 s.).,|~I,|~,|~B,|~0.2,|~43,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-3-col-2.png
,|~,|~I,|~,|~C,|~0.3,|~43,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-3-col-3.png
,|~From Manna (2 s.), turn over (dislocation) to (2s.).,|~I,|~,|~D,|~0.4,|~43,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-3-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~43,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-3-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~43,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-3-col-6.png
,|~,|~I,|~,|~A,|~0.1,|~43,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-4-col-1.png
,|~Press or lower or swing to Japanese hdst. (2 s.),|~I,|~,|~B,|~0.2,|~43,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-4-col-2.png
,|~(2s). From split press to Japanese handstand (2 s.).,|~I,|~,|~C,|~0.3,|~43,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-4-col-3.png
,|~,|~I,|~,|~D,|~0.4,|~43,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-4-col-4.png
,|~,|~I,|~,|~E,|~0.5,|~43,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-4-col-5.png
,|~,|~I,|~,|~F/G/H,|~0.6,|~43,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-43-row-4-col-6.png
,|~,|~II,|~Acrobatic elements forward,|~A,|~0.1,|~50,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-1-col-1.png
,|~,|~II,|~Acrobatic elements forward,|~B,|~0.2,|~50,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-1-col-2.png
,|~,|~II,|~Acrobatic elements forward,|~C,|~0.3,|~50,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-1-col-3.png
,|~,|~II,|~Acrobatic elements forward,|~D,|~0.4,|~50,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-1-col-4.png
,|~,|~II,|~Acrobatic elements forward,|~E,|~0.5,|~50,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-1-col-5.png
,|~,|~II,|~Acrobatic elements forward,|~F/G/H,|~0.6,|~50,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-1-col-6.png
,|~,|~II,|~Acrobatic elements forward,|~A,|~0.1,|~50,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-2-col-1.png
,|~,|~II,|~Acrobatic elements forward,|~B,|~0.2,|~50,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/floor/page-50-row-2-col-2.png
