name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~From hang or from support, free hip circle hop to handstand.,|~III,|~,|~A,|~0.1,|~155,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-1-col-1.png
,|~,|~III,|~,|~B,|~0.2,|~155,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-1-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~155,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-1-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~155,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-1-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~155,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-1-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~155,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-1-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~155,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-2-col-1.png
Endo,|~Free circle fwd. straddled thr. hdst.,|~III,|~,|~B,|~0.2,|~155,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-2-col-2.png
,|~Free circle fwd. legs together thr. hdst.,|~III,|~,|~C,|~0.3,|~155,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-2-col-3.png
,|~,|~III,|~,|~D,|~0.4,|~155,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-2-col-4.png
,|~,|~III,|~,|~E,|~0.5,|~155,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-2-col-5.png
,|~,|~III,|~,|~F/G/H,|~0.6,|~155,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-2-col-6.png
,|~,|~III,|~,|~A,|~0.1,|~155,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-3-col-1.png
Stalder,|~Free circle bwd. straddle thr. hdst.,|~III,|~,|~B,|~0.2,|~155,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-3-col-2.png
,|~,|~III,|~,|~C,|~0.3,|~155,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-3-col-3.png
,|~Stalder with hop 3/2 turn through hdst. in mix:,|~III,|~,|~D,|~0.4,|~155,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/high-bar/page-155-row-3-col-4.png
