name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~Salto fwd. piked or straight also with % t. Syed,|~IV,|~Dismounts,|~A,|~0.1,|~136,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-1-col-1.png
,|~,|~IV,|~Dismounts,|~B,|~0.2,|~136,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-1-col-2.png
,|~Salto fwd. piked or str. with 1/1 or 3/2 t.,|~IV,|~Dismounts,|~C,|~0.3,|~136,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-1-col-3.png
,|~Salto fwd. piked or str. with 2/1 or 5/2 t.,|~IV,|~Dismounts,|~D,|~0.4,|~136,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-1-col-4.png
,|~,|~IV,|~Dismounts,|~E,|~0.5,|~136,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-1-col-5.png
Belyavskiy,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~136,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-1-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~136,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-2-col-1.png
,|~,|~IV,|~Dismounts,|~B,|~0.2,|~136,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-2-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~136,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-2-col-3.png
,|~,|~IV,|~Dismounts,|~D,|~0.4,|~136,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-2-col-4.png
,|~Double salto fwd. t. w. % t. or % t. dobl. salt. bwd.,|~IV,|~Dismounts,|~E,|~0.5,|~136,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-2-col-5.png
,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~136,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-2-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~136,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-3-col-1.png
,|~,|~IV,|~Dismounts,|~B,|~0.2,|~136,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-3-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~136,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/parallel-bars/page-136-row-3-col-3.png
