name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~Any % spindle on the end.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~69,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-1-col-1.png
,|~Any % spindle on the end.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~69,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-1-col-2.png
Keikha 2,|~Side support, % spindle with both pommel: between the hands (flair or circle). fh Aon,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~69,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-1-col-3.png
,|~Any side support pommel between hands 1/1 spindle w. legs straddle inside max. 2 circles.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~69,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-1-col-4.png
Eichorn,|~Any side support 1/1 spindle with hand support to. the other side and return (max. 2 flairs or circles).,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~69,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-1-col-5.png
Keikha 1,|~Any 1/1 spindle with both pommels between the hands (flair or circle). the le Nop,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~69,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-1-col-6.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~69,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-2-col-1.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~69,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-2-col-2.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~69,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-2-col-3.png
,|~Any 1/1 spindle within max. 2 circles on the end.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~69,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-2-col-4.png
,|~Cross support, 1/1 spindle with hands between the,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~69,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-2-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~69,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-2-col-6.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~69,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-3-col-1.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~69,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-3-col-2.png
Tippelt,|~Flair or circle through hdst. (with or without % t.) and lower to flair or circle.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~69,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-3-col-3.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~69,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-3-col-4.png
Berki,|~1/1 spindle w. legs straddle or together on the fl on Vion \.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~69,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-3-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~69,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-3-col-6.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~69,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-4-col-1.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~69,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-4-col-2.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~69,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-4-col-3.png
,|~Flair with hop travel bwd. through hdst. and lower to circles or flairs.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~69,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-4-col-4.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~69,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-4-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~69,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-69-row-4-col-6.png
,|~Any circle or flair in side support.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~68,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-1-col-1.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~68,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-1-col-2.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~68,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-1-col-3.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~68,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-1-col-4.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~68,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-1-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~68,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-1-col-6.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~68,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-2-col-1.png
,|~Circle with support outside pommels or between the pommels in side support.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~68,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-2-col-2.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~68,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-2-col-3.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~68,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-2-col-4.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~68,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-2-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~68,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-2-col-6.png
,|~Circles in cross support frontways on end.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~68,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-3-col-1.png
,|~Circles in cross support on 1 pommel (from or,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~68,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-3-col-2.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~68,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-3-col-3.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~68,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-3-col-4.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~68,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-3-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~68,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-3-col-6.png
,|~Circles in cross support rearways on end.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~A,|~0.1,|~68,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-4-col-1.png
,|~Circles in cross support between the pommels.,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~B,|~0.2,|~68,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-4-col-2.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~C,|~0.3,|~68,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-4-col-3.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~D,|~0.4,|~68,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-4-col-4.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~E,|~0.5,|~68,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-4-col-5.png
,|~,|~II,|~Circle and flairs, with and/or without spindles and handstands, Kehr-swings, Russian w., flops and combined elements,|~F/G/H,|~0.6,|~68,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-68-row-4-col-6.png
,|~Wende (from circle or flair). Oy a. XG Qe te,|~IV,|~Dismounts,|~A,|~0.1,|~77,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-1-col-1.png
,|~Chaguinian to wende.,|~IV,|~Dismounts,|~B,|~0.2,|~77,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-1-col-2.png
,|~,|~IV,|~Dismounts,|~C,|~0.3,|~77,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-1-col-3.png
Kolyvanov,|~From side sup. on end, circle or flair to hdst. and travel 3/3 with 450° or more turn.,|~IV,|~Dismounts,|~D,|~0.4,|~77,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-1-col-4.png
,|~DSA to hdst. 3/3 with 450° or more turn.,|~IV,|~Dismounts,|~E,|~0.5,|~77,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-1-col-5.png
,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~77,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-1-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~77,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-2-col-1.png
,|~On the end, Russian wendeswing with 360° or 540°.,|~IV,|~Dismounts,|~B,|~0.2,|~77,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-2-col-2.png
,|~On the end, Russian wend. with 720° or 900°.,|~IV,|~Dismounts,|~C,|~0.3,|~77,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-2-col-3.png
,|~On the end, Russian wendeswing with 1080° or,|~IV,|~Dismounts,|~D,|~0.4,|~77,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-2-col-4.png
,|~,|~IV,|~Dismounts,|~E,|~0.5,|~77,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-2-col-5.png
,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~77,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-2-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~77,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-3-col-1.png
,|~Fr. s. sup. fw., wendeswing fwd. w. % t. to sup. fw. followed by Schwabenflank a. wende off.,|~IV,|~Dismounts,|~B,|~0.2,|~77,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-3-col-2.png
,|~through hdst.,|~IV,|~Dismounts,|~C,|~0.3,|~77,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-3-col-3.png
Jessen) (Loos,|~DSA or rev. Stéckli with hop bwd. through hdst. on other end.,|~IV,|~Dismounts,|~D,|~0.4,|~77,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-3-col-4.png
,|~,|~IV,|~Dismounts,|~E,|~0.5,|~77,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-3-col-5.png
,|~,|~IV,|~Dismounts,|~F/G/H,|~0.6,|~77,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-3-col-6.png
,|~,|~IV,|~Dismounts,|~A,|~0.1,|~77,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-4-col-1.png
,|~Circle or flair through hdst. (also with % t. with or without travel),|~IV,|~Dismounts,|~B,|~0.2,|~77,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-4-col-2.png
,|~Circle or flair with hop travel bw. thr. hdst.,|~IV,|~Dismounts,|~C,|~0.3,|~77,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/pommel-horse/page-77-row-4-col-3.png
