name,|~explanation,|~group,|~group_name,|~element_alphabetic_value,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~A,|~0.1,|~95,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-1-col-1.png
,|~Uprise fwd. to L-sit, (2 s,).,|~III,|~Swing to Strength hold elements (2 sec.),|~B,|~0.2,|~95,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-1-col-2.png
,|~Uprise fwd. to V-sit (2 s.).,|~III,|~Swing to Strength hold elements (2 sec.),|~C,|~0.3,|~95,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-1-col-3.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~D,|~0.4,|~95,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-1-col-4.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~E,|~0.5,|~95,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-1-col-5.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~F/G/H,|~0.6,|~95,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-1-col-6.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~A,|~0.1,|~95,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-2-col-1.png
,|~Kip to L-sit (2 s.).,|~III,|~Swing to Strength hold elements (2 sec.),|~B,|~0.2,|~95,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-2-col-2.png
,|~Kip to V-sit (2 s.),|~III,|~Swing to Strength hold elements (2 sec.),|~C,|~0.3,|~95,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-2-col-3.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~D,|~0.4,|~95,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-2-col-4.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~E,|~0.5,|~95,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-2-col-5.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~F/G/H,|~0.6,|~95,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-2-col-6.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~A,|~0.1,|~95,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-3-col-1.png
Honma,|~Backward swing to salto fwd. p. to L-sit (2 s.).,|~III,|~Swing to Strength hold elements (2 sec.),|~B,|~0.2,|~95,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-3-col-2.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~C,|~0.3,|~95,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-3-col-3.png
,|~Honma to cross / L-cross (2 s.).,|~III,|~Swing to Strength hold elements (2 sec.),|~D,|~0.4,|~95,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-3-col-4.png
Tanaka,|~Honma to V cross (2 s.).,|~III,|~Swing to Strength hold elements (2 sec.),|~E,|~0.5,|~95,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-3-col-5.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~F/G/H,|~0.6,|~95,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-3-col-6.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~A,|~0.1,|~95,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-4-col-1.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~B,|~0.2,|~95,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-4-col-2.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~C,|~0.3,|~95,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-4-col-3.png
,|~(2s). Bud. swing, salto fwd p. to cross or L- cross (2s.).,|~III,|~Swing to Strength hold elements (2 sec.),|~D,|~0.4,|~95,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-4-col-4.png
,|~,|~III,|~Swing to Strength hold elements (2 sec.),|~E,|~0.5,|~95,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/rings/page-95-row-4-col-5.png
