name,|~explanation,|~group,|~group_name,|~element_numeric_value,|~page_nr,|~row,|~col,|~img_url
,|~,|~I,|~Single salto vaults with complex twists,|~4.4,|~109,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-1-col-1.png
Akopian,|~,|~I,|~Single salto vaults with complex twists,|~48°,|~109,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-1-col-2.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~1,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-1-col-3.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~1,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-1-col-4.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~1,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-1-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~1,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-1-col-6.png
Driggs,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~2,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-2-col-1.png
Lépez,|~Kasamatsu str. with 2/1 t.,|~I,|~Single salto vaults with complex twists,|~5.6,|~109,|~2,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-2-col-2.png
,|~Kasamatsu str. with 5/2 t. or Tsukahara st. with,|~I,|~Single salto vaults with complex twists,|~,|~109,|~2,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-2-col-3.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~2,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-2-col-4.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~2,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-2-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~2,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-2-col-6.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~3,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-3-col-1.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~3,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-3-col-2.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~3,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-3-col-3.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~3,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-3-col-4.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~3,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-3-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~3,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-3-col-6.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~4,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-4-col-1.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~4,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-4-col-2.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~4,|~3,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-4-col-3.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~4,|~4,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-4-col-4.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~4,|~5,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-4-col-5.png
,|~,|~I,|~Single salto vaults with complex twists,|~,|~109,|~4,|~6,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-109-row-4-col-6.png
,|~Hdspr. fwd. and salto fwd. t. w. 1/1 t. (Cuervo t.,|~I,|~Single salto vaults with complex twists,|~3.2,|~108,|~1,|~1,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-1-col-1.png
,|~Hdspr. fwd. and salto fwd. t. w. 3/2 t. (Cuervo tw. 1/1 t). con 1/1 g.).,|~I,|~Single salto vaults with complex twists,|~,|~108,|~1,|~2,|~/Users/arnthordadi/Documents/projects/routine-builder/src/assets/img/elements/vault/page-108-row-1-col-2.png
